Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-09-13,UAL,913,KEF,ORD,,D31,5,M34,false,,2024-09-13T12:00,2024-09-13T11:42,,,,,2024-09-13T13:55,2024-09-13T13:26,Boeing 757-200,,,,,,,,79d9f1a6-5f7d-47fa-b2c2-d40990ed8b98,b57b4c86-4724-48f1-80be-d7de4036004a,f9ddda80-ba0f-442d-a00c-851d63bcbb3c,a5eff314-18e7-4c87-bd38-0131882f1b8d,,2c3a4012-9fb9-44fc-9a71-0b6cb336042e
2024-09-14,UAL,567,ORD,ABQ,,,Main,,false,,2024-09-14T09:15,,,,,,2024-09-14T11:26,,,,GF05PG,,,,,,0357d180-186f-4e58-8699-0587f876ec15,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,7b925806-8601-400f-bd02-c38802c531b8,,
2024-11-17,UAL,1576,ABQ,ORD,Main,A3,1,C2,false,,2024-11-17T12:50,2024-11-17T12:54,,,,,2024-11-17T16:42,2024-11-17T16:31,Airbus A319,,DGJQP5,28D,,,,,2a984ed0-0df3-4f29-8061-4bb65a92c40a,b57b4c86-4724-48f1-80be-d7de4036004a,7b925806-8601-400f-bd02-c38802c531b8,a5eff314-18e7-4c87-bd38-0131882f1b8d,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2024-11-17,UAL,5593,ORD,DTW,2,F28,E,D2,false,,2024-11-17T17:50,2024-11-17T18:08,,,,,2024-11-17T20:18,2024-11-17T20:27,Embraer 175,,DGJQP5,22C,,,,,de32d31b-a169-494a-83bb-e0487e568fa8,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,,36728d5b-40cd-46ec-93ba-8822376b565d
2024-11-22,UAL,1957,DTW,IAH,E,D4,C,C1,false,,2024-11-22T08:23,2024-11-22T08:13,,,,,2024-11-22T10:37,2024-11-22T09:56,Boeing 737-700,,DGJQP5,,,,,,ce43ae01-bb64-4b1a-9bf6-0515a0887f35,b57b4c86-4724-48f1-80be-d7de4036004a,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,9a82d843-2e36-4dba-8a6c-ea86d70b316b,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2024-11-22,UAL,6060,IAH,ABQ,C,C33,Main,A2,false,,2024-11-22T11:55,2024-11-22T11:50,,,,,2024-11-22T13:24,2024-11-22T13:11,Embraer 175,,DGJQP5,19D,,,,,699085e4-4b80-4ecf-92c8-cd243a925c89,b57b4c86-4724-48f1-80be-d7de4036004a,9a82d843-2e36-4dba-8a6c-ea86d70b316b,7b925806-8601-400f-bd02-c38802c531b8,,36728d5b-40cd-46ec-93ba-8822376b565d
2024-11-25,SWA,4681,ABQ,PHX,Main,A9,4,C2,false,,2024-11-25T20:00,2024-11-25T19:55,,,,,2024-11-25T21:20,2024-11-25T21:14,Boeing 737-700,,,,,,,,d62e265f-312d-4e92-b978-1b64032e1f4c,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,a2f06eec-440b-48dd-9096-f9051e8a07ef,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2024-11-27,UAL,2303,PHX,IAD,3,E10,Main,18,false,,2024-11-27T09:35,2024-11-27T09:45,,,,,2024-11-27T15:48,2024-11-27T15:44,Boeing 737-900ER,,,,,,,,54bbc1c8-fefc-4667-9c71-e8e0cac9116f,b57b4c86-4724-48f1-80be-d7de4036004a,a2f06eec-440b-48dd-9096-f9051e8a07ef,519696f5-bda6-457c-ae4c-dd1cb07e20de,,24012541-435d-4a27-af8a-4791336f1965
2024-11-27,UAL,358,DFW,IAD,E,E5,Main,C23,false,,2024-11-27T12:05,2024-11-27T12:01,,,,,2024-11-27T15:53,2024-11-27T15:41,Airbus A320,,,,,,,,2de6988e-607a-46fe-8417-3ecb7927d607,b57b4c86-4724-48f1-80be-d7de4036004a,1573100e-e4a3-47b0-9399-01b36074e1f5,519696f5-bda6-457c-ae4c-dd1cb07e20de,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-11-27,UAL,950,IAD,BRU,Main,C2,Main,B29,false,,2024-11-27T17:50,2024-11-27T17:56,,,,,2024-11-28T07:15,2024-11-28T07:16,Boeing 777-300 ER,,,,,,,,bbe9b525-3f40-4f41-98e1-825769488130,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,cedbcaaa-96c5-48e3-88f1-6f27c2fb09df,,78eac566-1ad0-4ded-9979-9510dfde05f2
